983,37.149,97.841,8.285,51.441,36.812,2.123,84.266,67.443,8.243,84.928,46.074,83.483,46.663,31.83,69.654,98.05,96.307,2.247,60.842,26.49,35.979,31.91,7.613,5.364,18.031,43.011,5.951,69.106,0.749,55.445,69.926,44.219,2.555,42.006,12.072,97.57,51.94,46.768
735,74.01,29.517,11.227,87.164,20.812,31.523,88.438,65.563,33.103,29.913,2.408,34.828,33.369,58.943,99.246,21.775,47.542,25.798,21.588,88.301,21.034,86.68,10.813,24.183,99.909,26.828,27.628,99.637,43.702,18.097,2.927,24.627,23.749,32.582,31.86,60.411,92.261,95.406
129,49.658,37.089,81.541,51.577,33.175,7.06,30.805,27.048,67.619,27.888,23.582,81.301,44.277,16.52,69.488,43.535,11.137,32.305,22.949,95.644,91.897,56.714,7.787,99.285,51.067,89.728,91.829,24.994,77.754,96.669,66.831,76.41,85.889,46.091,66.643,61.788,19.832,5.912
356,33.265,82.44,6.249,70.18,87.477,84.208,43.168,36.869,29.502,37.192,53.109,57.681,77.878,19.094,56.574,83.401,39.566,78.975,96.62,69.792,11.817,15.978,65.879,62.703,35.009,8.245,64.773,67.221,92.046,31.226,93.148,87.16,40.184,38.146,94.729,67.004,41.06,4.184
786,9.706,20.578,8.746,30.612,53.766,63.17,26.385,2.744,41.032,89.827,25.396,97.466,49.231,11.378,0.921,20.761,93.062,77.226,99.186,12.257,71.674,92.441,81.871,25.993,39.691,79.929,49.638,97.415,73.032,34.432,64.568,55.635,84.5,3.868,3.174,86.717,31.519,64.871
298,39.653,14.108,32.018,98.948,1.776,81.165,87.137,10.633,94.886,52.386,23.268,33.646,53.992,57.911,36.472,99.999,26.553,81.769,69.068,71.344,61.796,43.804,71.506,29.555,43.111,68.175,28.613,15.006,70.275,50.019,58.774,76.948,83.103,53.341,7.134,58.569,11.186,3.867
100,63.266,39.872,62.708,1.918,54.009,37.834,63.681,64.678,91.133,38.981,81.568,93.566,21.493,71.945,28.9,16.05,98.197,49.984,60.374,6.496,11.566,22.766,97.431,26.947,30.707,45.197,5.907,89.683,36.109,30.48,57.263,1.185,52.624,49.678,38.857,82.047,49.646,33.231
255,78.816,76.076,27.068,43.625,87.662,81.971,71.595,74.57,18.003,53.427,51.933,69.992,71.912,32.363,98.431,46.309,36.535,46.733,94.342,86.133,69.851,13.053,29.638,89.133,0.213,79.196,39.427,27.004,82.211,95.807,65.756,88.256,87.298,39.045,45.998,78.439,55.141,73.03
58,16.223,64.261,21.767,64.183,90.514,63.067,48.279,36.332,84.075,32.761,62.117,85.83,51.47,9.483,44.416,68.605,50.017,35.659,65.394,33.695,13.098,90.819,79.059,88.498,47.867,69.565,91.496,43.919,48.998,42.52,80.02,89.32,67.223,86.557,86.253,82.101,33.474,36.953
109,31.399,33.664,34.635,61.375,70.741,70.131,48.478,30.5,34.86,23.985,82.31,8.999,49.939,65.469,71.1,36.62,59.111,21.676,66.452,84.39,38.508,91.789,24.236,71.351,37.777,39.755,80.49,78.928,90.061,69.265,77.443,46.592,2.417,5.784,94.325,57.126,93.851,47.98
488,12.732,85.545,53.35,80.288,56.526,96.226,46.846,61.873,98.814,65.146,53.4,26.532,4.456,15.816,37.221,98.729,48.652,95.145,82.183,0.672,92.713,20.605,66.211,77.396,71.053,85.149,43.244,60.287,17.981,86.328,8.464,59.861,20.342,24.943,53.245,30.863,88.571,67.399
314,9.434,20.728,72.453,97.237,35.75,92.609,17.932,13.549,64.003,41.733,27.216,76.68,46.903,24.776,7.864,82.855,93.058,57.949,46.933,88.408,16.784,23.94,31.576,56.737,97.332,43.778,12.529,8.519,24.714,94.605,39.307,77.46,73.121,66.721,67.113,96.341,94.113,50.589
757,53.444,55.272,62.975,74.46,19.846,22.24,85.611,29.92,9.565,85.518,48.305,80.797,88.63,46.282,54.854,55.611,85.19,25.187,57.355,52.542,67.722,96.341,32.921,23.134,44.261,79.616,82.281,86.408,65.777,92.285,55.3,21.409,53.478,94.853,66.548,58.219,84.462,72.704
586,3.506,10.397,66.084,12.045,0.321,35.352,63.057,26.891,81.499,86.529,60.428,3.919,9.951,82.506,36.573,86.928,26.787,32.146,18.934,60.758,88.353,87.269,34.069,90.662,20.037,54.61,86.842,78.75,71.577,56.233,76.735,19.122,21.211,83.706,91.144,88.308,29.243,53.639
107,98.215,50.71,35.5,56.371,49.687,21.304,19.294,9.569,12.549,64.323,63.014,99.166,31.723,33.955,18.449,59.029,53.256,51.292,13.346,47.995,91.005,61.821,82.451,66.56,15.136,33.49,64.911,11.801,40.404,66.707,87.534,14.671,91.131,60.043,25.336,99.969,3.837,77.028
126,65.816,91.702,45.65,47.904,45.387,38.226,67.851,70.921,86.47,32.429,63.515,51.701,8.638,12.213,40.455,14.249,3.4,79.107,45.453,53.338,17.663,15.651,95.435,82.852,48.273,66.181,75.752,64.222,0.276,98.272,51.974,54.586,3.172,65.911,32.628,10.777,67.523,2.909
657,28.228,70.777,5.713,1.193,23.188,21.175,27.324,16.244,63.598,43.936,18.333,6.79,25.529,50.809,49.66,98.776,24.633,77.645,83.348,61.1,61.412,90.283,7.904,22.364,90.238,61.212,42.84,98.058,99.333,15.882,61.443,86.282,50.62,41.362,8.927,99.054,67.782,79.401
169,29.349,54.709,68.011,1.252,82.352,30.026,98.683,86.114,3.139,18.075,82.628,26.181,97.874,36.644,24.531,0.16,7.384,53.681,43.768,78.594,12.153,23.427,10.49,33.614,47.592,25.481,22.648,95.126,47.113,86.054,2.441,14.496,8.763,91.623,77.65,38.155,20.58,79.07
462,66.274,39.443,98.937,48.13,64.372,28.53,95.517,42.138,71.473,81.3,9.604,65.715,88.605,29.147,16.368,3.371,37.982,9.563,24.841,27.934,57.559,86.255,78.939,21.489,95.615,3.29,38.174,60.869,26.19,32.495,18.333,59.651,57.533,4.142,75.497,3.362,67.542,64.907
702,9.041,92.867,61.81,70.39,52.765,41.773,42.771,3.032,8.605,48.219,44.293,30.47,84.359,85.543,16.844,57.386,8.868,51.894,61.879,9.941,85.628,93.2,1.778,14.152,12.811,54.709,12.942,14.377,73.832,73.616,8.419,15.724,10.059,24.621,84.796,29.431,54.784,55.454
